db_name,Question,Actual Output,Logical Output,Actual Len,Logical Len
concert_singer,How many singers do we have?,   count(*)0         6,   NumSingers<>0             5,1,1
concert_singer,What is the total number of singers?,   count(*)0         6,   NumSingers<>0             5,1,1
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",           Name        Country  Age0     Joe Sharp    Netherlands   521  John Nizinik         France   432    Rose White         France   413     Timbaland  United States   324  Justin Brown         France   295   Tribal King         France   25,   SingerName<> SingerCountry<>  SingerAge<>  NumSingers<>0  John Nizinik          France           43             11  Justin Brown          France           29             12    Rose White          France           41             13     Timbaland   United States           32             14   Tribal King          France           25             1,6,5
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?",           Name        Country  Age0     Joe Sharp    Netherlands   521  John Nizinik         France   432    Rose White         France   413     Timbaland  United States   324  Justin Brown         France   295   Tribal King         France   25,   SingerName<> SingerCountry<>  SingerAge<>  NumSingers<>0  John Nizinik          France           43             11  Justin Brown          France           29             12    Rose White          France           41             13     Timbaland   United States           32             14   Tribal King          France           25             1,6,5
concert_singer,What are all distinct countries where singers above age 20 are from?,         Country0    Netherlands1  United States2         France,  SingerCountry<>  NumSingers<>0          France             41   United States             1,3,2
concert_singer,What are  the different countries with singers above age 20?,         Country0    Netherlands1  United States2         France,  SingerCountry<>  NumSingers<>0          France             41   United States             1,3,2
concert_singer,Show all countries and the number of singers in each country.,         Country  count(*)0         France         41    Netherlands         12  United States         1,  SingerCountry<>  NumSingers<>0          France             41   United States             1,3,2
concert_singer,How many singers are from each country?,         Country  count(*)0         France         41    Netherlands         12  United States         1,  SingerCountry<>  NumSingers<>0          France             41   United States             1,3,2
concert_singer,List all song names by singers above the average age.,   Song_Name0        You1        Sun2  Gentleman,  SongName<>  SingerName<>  NumSingers<>0  Dangerous     Timbaland             11  Gentleman  John Nizinik             12        Sun    Rose White             1,3,3
concert_singer,What are all the song names by singers who are older than average?,   Song_Name0        You1        Sun2  Gentleman,  SongName<>  SingerName<>  NumSingers<>0  Dangerous     Timbaland             11  Gentleman  John Nizinik             12        Sun    Rose White             1,3,3
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"Empty DataFrameColumns: [Location, Name]Index: []","Empty DataFrameColumns: [StadiumLocation<>, StadiumName<>, NumStadiums<>]Index: []",0,0
concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"Empty DataFrameColumns: [Location, Name]Index: []","Empty DataFrameColumns: [StadiumLocation<>, StadiumName<>, NumStadiums<>]Index: []",0,0
concert_singer,What is the maximum capacity and the average of all stadiums ?,   max(capacity)  Average0          52500      730,   MaxStadiumCapacity<>  AvgStadiumCapacity<>0                 11998                8136.6,1,1
concert_singer,What is the average and maximum capacities for all stadiums ?,   avg(capacity)  max(capacity)0   10621.666667          52500,   AvgStadiumCapacity<>  MaxStadiumCapacity<>0                8136.6                 11998,1,1
concert_singer,What is the name and capacity for the stadium with the highest average attendance?,           Name  Capacity0  Stark's Park     10104,  StadiumName<>  StadiumCapacity<>  AvgStadiumAttendance<>  MaxStadiumCapacity<>0       Balmoor               4000                   615.0                  4000,1,1
concert_singer,Show the stadium name and the number of concerts in each stadium.,              Name  count(*)0     Stark's Park         11       Glebe Park         12    Somerset Park         23  Recreation Park         14          Balmoor         1,     StadiumName<>  NumConcertsPerStadium<>0          Balmoor                        11       Glebe Park                        12  Recreation Park                        13    Somerset Park                        24     Stark's Park                        1,5,5
concert_singer,"For each stadium, how many concerts play there?",              Name  count(*)0     Stark's Park         11       Glebe Park         12    Somerset Park         23  Recreation Park         14          Balmoor         1,     StadiumName<>  NumConcerts<>0          Balmoor              11       Glebe Park              12  Recreation Park              13    Somerset Park              24     Stark's Park              1,5,5
concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,            Name  Capacity0  Somerset Park     11998,     StadiumName<>  StadiumCapacity<>  NumConcertsPerStadium<>0          Balmoor               4000                        11       Glebe Park               3960                        12  Recreation Park               3100                        13    Somerset Park              11998                        24     Stark's Park              10104                        1,1,5
concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,            Name  Capacity0  Somerset Park     11998,     StadiumName<>  StadiumCapacity<>  NumConcertsPerStadium<>0          Balmoor               4000                        11       Glebe Park               3960                        12  Recreation Park               3100                        13    Somerset Park              11998                        24     Stark's Park              10104                        1,1,5
concert_singer,Which year has most number of concerts?,   Year0  2015,  ConcertYear<>  NumConcerts<>0          2014              31          2015              3,1,2
concert_singer,What is the year that had the most concerts?,   Year0  2015,  ConcertYear<>  NumConcerts<>0          2014              31          2015              3,1,2
concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,  Country0  France,"Empty DataFrameColumns: [SingerCountry<>, NumSingers<>]Index: []",1,0
concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,     concert_Name            Theme  count(*)0       Auditions      Free choice         31  Super bootcamp    Free choice 2         22     Home Visits    Bleeding Love         13          Week 1       Wide Awake         14          Week 1    Happy Tonight         25          Week 2  Party All Night         1,    ConcertName<>   ConcertTheme<>  NumSingers<>0       Auditions      Free choice             31     Home Visits    Bleeding Love             12  Super bootcamp    Free choice 2             23          Week 1    Happy Tonight             24          Week 1       Wide Awake             15          Week 2  Party All Night             1,6,6
