db_name,Question,Error
concert_singer,"What is the average, minimum, and maximum age of all singers from France?","Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  AVG(singer.age) AS avgsingerage_810388,
  MIN(singer.age) AS minsingerage_504509,
  MAX(singer.age) AS maxsingerage_398405,
  singer.country AS singercountry_447921
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['France']::text[], singer.country)) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY singer.country)
SELECT
  ConsolidatingFactTable.singercountry_447921 AS ""SingerCountry<>"",
  ConsolidatingFactTable.avgsingerage_810388 AS ""AvgSingerAge<>"",
  ConsolidatingFactTable.minsingerage_504509 AS ""MinSingerAge<>"",
  ConsolidatingFactTable.maxsingerage_398405 AS ""MaxSingerAge<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,"What is the average, minimum, and maximum age for all French singers?","Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  AVG(singer.age) AS avgsingerage_810388,
  MIN(singer.age) AS minsingerage_504509,
  MAX(singer.age) AS maxsingerage_398405,
  singer.country AS singercountry_447921
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['France']::text[], singer.country)) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY singer.country)
SELECT
  ConsolidatingFactTable.singercountry_447921 AS ""SingerCountry<>"",
  ConsolidatingFactTable.avgsingerage_810388 AS ""AvgSingerAge<>"",
  ConsolidatingFactTable.minsingerage_504509 AS ""MinSingerAge<>"",
  ConsolidatingFactTable.maxsingerage_398405 AS ""MaxSingerAge<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,Show the name and the release year of the song by the youngest singer.,Could not parse expression of a value.
concert_singer,What are the names and release years for all the songs of the youngest singer?,"While compiling predicate [1mConsolidatingFactTable[0m there was found no way to assign variables: [1mfact[0m in rule for [1mMinSingerAge[0m, [1mages[0m in rule for [1mSingerAgeIs[0m."
concert_singer,What is the name and capacity for the stadium with highest average attendance?,'StadiumCapacity'
concert_singer,How many concerts are there in year 2014 or 2015?,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT singer_in_concert.concert_id) AS numconcerts_152180
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014', '2015']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64)))
SELECT
  ConsolidatingFactTable.numconcerts_152180 AS ""NumConcerts<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,How many concerts occurred in 2014 or 2015?,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT singer_in_concert.concert_id) AS numconcerts_152180
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014', '2015']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64)))
SELECT
  ConsolidatingFactTable.numconcerts_152180 AS ""NumConcerts<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,Show the stadium names without any concert.,'NumConcertsIs'
concert_singer,What are the names of the stadiums without any concerts?,Subscript must be lowercase.
concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT CAST(concert.stadium_id AS INT64)) AS numstadiums_622960,
  stadium.name AS stadiumname_493588
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY stadium.name)
SELECT
  ConsolidatingFactTable.stadiumname_493588 AS ""StadiumName<>"",
  ConsolidatingFactTable.numstadiums_622960 AS ""NumStadiums<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
